,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27
Clostridium_sp_L2-50_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.453006319,2.22E-16,2.22E-16,2.22E-16,4.506530522,2.22E-16,2.22E-16,2.22E-16,5.309841787,4.54E-10,2.22E-16,2.22E-16
Anaerostipes_caccae_DSM_14662_,0.054448533,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,5.934629486,2.22E-16,2.22E-16,2.22E-16,5.734329552,2.22E-16,2.22E-16,2.22E-16
Hoeflea_phototrophica_DFL-43_,2.22E-16,2.22E-16,0.761246872,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,7.647316924,0.480624954,0.906251871,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.28E-16,2.22E-16
Bacteroides_caccae_ATCC_43185_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4.476099659,2.22E-16,0.044400154,2.22E-16,2.22E-16,2.22E-16,12.36383269,2.22E-16
[Clostridium]_bolteae_ATCC_BAA-613_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.74E-07,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.33380914,6.407380917,2.22E-16,2.22E-16,2.22E-16
Borrelia_duttonii_Ly_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.432429449,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.933071531,2.22E-16,2.22E-16,8.201672056,0.048226693,1.43679709,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Candidatus_Vesicomyosocius_okutanii_HA_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.831121471,2.22E-16,0.260919341,2.692825158,2.22E-16,5.235658916,1.145073247,2.22E-16,2.22E-16,2.22E-16,6.58E-12,1.357814522,2.22E-16,1.38E-08,2.22E-16,2.22E-16,0.151289638,2.22E-16,2.22E-16,2.22E-16,2.41E-09,2.22E-16,2.22E-16
Candidatus_Ruthia_magnifica_str_Cm_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.393561047,2.22E-16,0.020672072,3.535813964,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.586695488,1.370526568,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Rhodospirillum_centenum_SW_,1.95E-05,1.07E-15,2.22E-16,0.764857639,3.94E-07,2.22E-16,2.22E-16,1.10E-13,0.17450074,2.600127635,2.953184372,9.00E-08,2.22E-16,2.22E-16,2.644879807,0.158541785,2.300607931,12.45181925,2.22E-16,0.676635981,2.22E-16,1.24E-09,2.22E-16,2.68E-07,5.36E-11,5.08E-14,2.22E-16
Actinopolyspora_erythraea_,6.810840079,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.93335548,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.00685116,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.053908433,2.22E-16,2.22E-16
