"","input.Species","input.Proteins","interactions","input.ID"
"918","Gallionella_capsiferriformans_ES-2_",2894,43866,395494
"919","Leptothrix_cholodnii_SP-6_",4363,67873,395495
"920","Cyanothece_sp._PCC_7425_",5138,55443,395961
"921","Beijerinckia_indica_subsp._indica_ATCC_9039_",3608,43497,395963
"922","Methylocapsa_acidiphila_B2_",3309,47326,395964
"923","Methylocella_silvestris_BL2_",3818,49307,395965
"924","Brachybacterium_phenoliresistens_",3605,50874,396014
"925","Staphylococcus_carnosus_subsp._carnosus_TM300_",2462,35460,396513
"926","Thioalkalivibrio_sulfidiphilus_HL-EbGr7_",3283,40169,396588
"927","Thioalkalivibrio_sp._K90mix_",2855,40996,396595
"928","Marmoricola_aequoreus_",3786,59556,397278
"929","Lachnospiraceae_bacterium_28-4_",4025,80680,397287
"930","Lachnospiraceae_bacterium_3-1_",5078,86025,397288
"931","Lachnospiraceae_bacterium_A2_",5215,84117,397290
"932","Lachnospiraceae_bacterium_A4_",6549,102473,397291
"933","Acidovorax_citrulli_AAC00-1_",4709,59653,397945
"934","Bacillus_pseudofirmus_OF4_",4213,50452,398511
"935","Pseudobacteroides_cellulosolvens_ATCC_35603_=_DSM_2933_",5681,123446,398512
"936","Bifidobacterium_bifidum_NCIMB_41171_",1852,28522,398513
"937","Bradyrhizobium_elkanii_USDA_76_",7845,147700,398525
"938","Burkholderia_phytofirmans_PsJN_",7241,96911,398527
"939","Delftia_acidovorans_SPH-1_",6040,83049,398578
"940","Shewanella_pealeana_ATCC_700345_",4241,63521,398579
"941","Dinoroseobacter_shibae_DFL_12_=_DSM_16493_",3657,53794,398580
"942","Leeuwenhoekiella_blandensis_MED217_",3735,53866,398720
"943","Geobacter_lovleyi_SZ_",3685,60026,398767
"944","Pseudomonas_mendocina_ymp_",4594,70255,399739
"945","Serratia_proteamaculans_568_",4942,67948,399741
"946","Enterobacter_sp._638_",4240,59741,399742
"947","Comamonas_testosteroni_KF-1_",5492,99384,399795
"948","Marinomonas_sp._MWYL1_",4439,65984,400668
"949","Terriglobus_saanensis_SP1PR4_",4180,50866,401053
"950","Bifidobacterium_dentium_Bd1_",2128,22242,401473
"951","Thermosinus_carboxydivorans_Nor1_",2750,53198,401526
"952","Flavobacterium_psychrophilum_JIP02-86_",2446,28257,402612
"953","Ralstonia_pickettii_12J_",4952,71944,402626
"954","Kamptonema_formosum_PCC_6407_",5792,114386,402777
"955","Parvibaculum_lavamentivorans_DS-1_",3636,49361,402881
"956","Petrotoga_mobilis_SJ95_",1898,25807,403833
"957","Geobacter_bemidjiensis_Bem_",4051,74170,404380
"958","Anaeromyxobacter_sp._Fw109-5_",4466,59676,404589
"959","Lactobacillus_helveticus_DPC_4571_",1610,19721,405566
"960","Saccharopolyspora_erythraea_NRRL_2338_",7197,107728,405948
"961","Bacillus_sp._m3-13_",4298,66643,406124
"962","Xenorhabdus_nematophila_ATCC_19061_",4549,50758,406817
"963","Xenorhabdus_bovienii_SS-2004_",4320,53071,406818
"964","Nocardioidaceae_bacterium_Broad-1_",5631,81284,408672
"965","Gramella_forsetii_KT0803_",3584,43351,411154
"966","Ruminococcus_obeum_ATCC_29174_",4175,54033,411459
"967","Ruminococcus_torques_ATCC_27756_",2875,39867,411460
"968","Dorea_formicigenerans_ATCC_27755_",3277,49088,411461
"969","Dorea_longicatena_DSM_13814_",2970,44386,411462
"970","Eubacterium_ventriosum_ATCC_27560_",2802,38488,411463
"971","Desulfovibrio_piger_ATCC_29098_",3114,27520,411464
"972","Parvimonas_micra_ATCC_33270_",1678,21398,411465
"973","Actinomyces_odontolyticus_ATCC_17982_",2159,34260,411466
"974","Pseudoflavonifractor_capillosus_ATCC_29799_",4828,67713,411467
"975","[Clostridium]_scindens_ATCC_35704_",3995,57569,411468
"976","[Eubacterium]_hallii_DSM_3353_",3233,36673,411469
"977","Ruminococcus_gnavus_ATCC_29149_",3913,57217,411470
"978","Subdoligranulum_variabile_DSM_15176_",3381,47148,411471
"979","Ruminococcus_callidus_ATCC_27760_",3475,40785,411473
"980","Coprococcus_eutactus_ATCC_27759_",2982,37379,411474
"981","Bacteroides_ovatus_ATCC_8483_",5536,61619,411476
"982","Parabacteroides_merdae_ATCC_43184_",4384,61207,411477
"983","Bacteroides_uniformis_ATCC_8492_",4663,61509,411479
"984","Faecalibacterium_prausnitzii_A2-165_",3475,46081,411483
"985","Clostridium_sp._L2-50_",2949,33801,411489
"986","Anaerostipes_caccae_DSM_14662_",3748,224734,411490
"987","Hoeflea_phototrophica_DFL-43_",4220,78063,411684
"988","Bacteroides_caccae_ATCC_43185_",3855,41139,411901
"989","[Clostridium]_bolteae_ATCC_BAA-613_",7284,136042,411902
"990","Borrelia_duttonii_Ly_",841,18418,412419
"991","Paracoccus_sp._TRP_",3793,62436,412597
"992","Candidatus_Vesicomyosocius_okutanii_HA_",937,14703,412965
"993","Candidatus_Ruthia_magnifica_str._Cm_",976,15646,413404
"994","Rhodospirillum_centenum_SW_",4003,57211,414684
"995","Actinopolyspora_erythraea_",3972,47619,414996
"996","Actinobacillus_pleuropneumoniae_serovar_5b_str._L20_",2012,27519,416269
"997","Thermotoga_lettingae_TMO_",2040,32270,416591
"998","Lactococcus_lactis_subsp._cremoris_MG1363_",2434,29440,416870
"999","Methylobacterium_extorquens_PA1_",4829,72108,419610
"1000","Mycobacterium_tuberculosis_H37Ra_",4034,61114,419947
"1001","Geobacillus_thermodenitrificans_NG80-2_",3445,53989,420246
"1002","Microvirga_lupini_",9466,201661,420324
"1003","Methylibium_petroleiphilum_PM1_",4449,60002,420662
"1004","Lactococcus_garvieae_Lg2_",1968,23337,420890
"1005","Acinetobacter_rudis_CIP_110305_",3621,46789,421052
"1006","Epilithonimonas_lactis_",3617,52645,421072
"1007","Chryseobacterium_luteum_",4032,51675,421531
"1008","Shewanella_sediminis_HAW-EB3_",4497,71131,425104
"1009","Helicobacter_sp._MIT_01-6451_",1802,26508,425400
"1010","Thiomonas_arsenitoxydans_",3528,44661,426114
"1011","Methylobacterium_sp._4-46_",6671,103613,426117
"1012","Methylobacterium_radiotolerans_JCM_2831_",6193,86256,426355
"1013","Nocardia_rhamnosiphila_",6823,124495,426716
"1014","[Clostridium]_leptum_DSM_753_",3923,47319,428125
"1015","[Clostridium]_spiroforme_DSM_1552_",2465,37978,428126
"1016","[Eubacterium]_dolichum_DSM_3991_",2350,47786,428127
"1017","Ammonifex_degensii_KC4_",2080,30320,429009
"1018","Clostridium_kluyveri_DSM_555_",3913,51184,431943
"1019","Porphyromonas_gingivalis_ATCC_33277_",2090,27063,431947
"1020","Neorickettsia_risticii_str._Illinois_",898,12640,434131
"1021","Bacteroides_vulgatus_ATCC_8482_",4065,48427,435590
"1022","Parabacteroides_distasonis_ATCC_8503_",3850,44559,435591
"1023","Actinomyces_graevenitzii_C83_",1853,28905,435830
"1024","Neisseria_mucosa_C102_",2026,32058,435832
"1025","Staphylococcus_hominis_subsp._hominis_C80_",2181,35935,435837
"1026","Staphylococcus_capitis_C87_",2402,38643,435838
"1027","Streptococcus_sp._C150_",1976,32337,435842
"1028","Idiomarina_salinarum_",2100,32614,435908
"1029","Sulfurihydrogenibium_sp._YO3AOP1_",1721,20709,436114
"1030","Streptacidiphilus_jeojiense_",7917,139453,436229
"1031","Acinetobacter_oleivorans_DR1_",3874,64614,436717
"1032","Azorhizobium_caulinodans_ORS_571_",4717,69464,438753
"1033","Desulfatibacillum_alkenivorans_AK-01_",5255,82895,439235
"1034","[Bacillus]_selenitireducens_MLS10_",3255,45812,439292
"1035","Ochrobactrum_anthropi_ATCC_49188_",4461,52117,439375
"1036","Candidatus_Pelagibacter_sp._HTCC7211_",1447,25508,439493
"1037","Rhodobacterales_bacterium_Y4I_",4133,79067,439496
"1038","Ruegeria_sp._R11_",3656,64890,439497
"1039","Pseudomonas_sp._Chol1_",4508,119488,440512
"1040","Methylobacterium_populi_BJ001_",5340,67339,441620
"1041","Acholeplasma_laidlawii_PG-8A_",1380,19131,441768
"1042","Bacillus_coahuilensis_m4-4_",4174,82679,441769
"1043","Geobacter_sp._M18_",4434,85871,443143
"1044","Geobacter_sp._M21_",4080,70107,443144
"1045","Marinobacter_algicola_DG893_",4126,80381,443152
"1046","Amycolicicoccus_subflavus_DQS3-9A1_",4584,68962,443218
"1047","Marinitoga_piezophila_KA3_",2046,32293,443254
"1048","Streptomyces_clavuligerus_ATCC_27064_",7291,88816,443255
"1049","Bradyrhizobium_sp._Cp5.3_",7632,177455,443598
"1050","Clavibacter_michiganensis_subsp._michiganensis_NCPPB_382_",3012,31663,443906
"1051","Clostridium_botulinum_NCTC_2916_",3668,68219,445335
"1052","Chryseobacterium_soli_",4064,53725,445961
"1053","Alistipes_putredinis_DSM_17216_",2742,27916,445970
"1054","Anaerofustis_stercorihominis_DSM_17244_",2331,30478,445971
"1055","Anaerotruncus_colihominis_DSM_17241_",4427,67438,445972
"1056","Intestinibacter_bartlettii_DSM_16795_",2787,39251,445973
"1057","Erysipelatoclostridium_ramosum_DSM_1402_",3169,123961,445974
"1058","Collinsella_stercoris_DSM_13279_",2529,57174,445975
"1059","Borrelia_valaisiana_VS116_",860,20779,445987
"1060","Actinosynnema_mirum_DSM_43827_",6916,98557,446462
"1061","Brachybacterium_faecium_DSM_4810_",3068,35943,446465
"1062","Cellulomonas_flavigena_DSM_20109_",3678,36289,446466
"1063","Nocardiopsis_dassonvillei_subsp._dassonvillei_DSM_43111_",5497,64364,446468
"1064","Sanguibacter_keddieii_DSM_10542_",3710,42226,446469
"1065","Stackebrandtia_nassauensis_DSM_44728_",6379,64310,446470
"1066","Xylanimonas_cellulosilytica_DSM_15894_",3443,38855,446471
"1067","Sorangium_cellulosum_So_ce56_",9375,113208,448385
"1068","Microcystis_aeruginosa_NIES-843_",6311,59387,449447
"1069","Bacteroides_stercoris_ATCC_43183_",3777,47931,449673
"1070","Microbacterium_profundi_",3148,39488,450380
"1071","Phenylobacterium_zucineum_HLK1_",3854,52489,450851
"1072","Candidatus_Amoebophilus_asiaticus_5a2_",1335,16191,452471
"1073","Opitutus_terrae_PB90-1_",4612,58106,452637
"1074","Polynucleobacter_necessarius_subsp._necessarius_STIR1_",1508,18394,452638
"1075","Kitasatospora_setae_KM-6054_",7569,106348,452652
"1076","Rickettsia_rickettsii_str._Iowa_",1383,16618,452659
"1077","Sphingobium_japonicum_UT26S_",4126,50195,452662
"1078","Arthrobacter_chlorophenolicus_A6_",4036,47147,452863
"1079","Xanthomonas_arboricola_pv._celebensis_",3909,80465,454957
"1080","Glaciecola_sp._HTCC2999_",2236,31821,455436
"1081","Streptomyces_griseus_subsp._griseus_NBRC_13350_",7136,99956,455632
"1082","Clostridium_sp._7_2_43FAA_",3392,72380,457396
"1083","Desulfovibrio_sp._3_1_syn3_",3096,47343,457398
"1084","Fusobacterium_nucleatum_subsp._animalis_7_1_",2419,25119,457405
"1085","Ruminococcus_sp._5_1_39BFAA_",3516,61892,457412
"1086","Synergistes_sp._3_1_syn1_",2960,50028,457415
"1087","Clostridiales_bacterium_1_7_47FAA_",6252,138613,457421
"1088","Bacteroides_fragilis_3_1_12_",4927,56121,457424
"1089","Streptomyces_albus_J1074_",5832,68426,457425
"1090","Streptomyces_pristinaespiralis_ATCC_25486_",7105,77949,457429
"1091","Natranaerobius_thermophilus_JW-NM-WN-LF_",2892,34541,457570
"1092","Macrococcus_caseolyticus_JCSC5402_",1973,25742,458233
"1093","Shewanella_halifaxensis_HAW-EB4_",4278,70179,458817
"1094","Candidatus_Cloacimonas_acidaminovorans_str._Evry_",1815,22774,459349
"1095","Arthrospira_platensis_C1_",6108,94827,459495
"1096","Methylobacterium_nodulans_ORS_2060_",7409,85631,460265
"1097","Streptomyces_sviceus_ATCC_29083_",8205,148575,463191
"1098","Micrococcus_luteus_NCTC_2665_",2236,28849,465515
"1099","Streptomyces_sp._Mg1_",7733,82290,465541
"1100","Erwinia_tasmaniensis_Et1-99_",3469,48850,465817
"1101","Candidatus_Pelagibacter_ubique_HTCC8051_",1468,25801,466038
"1102","Acinetobacter_sp._Ver3_",3080,40380,466088
"1103","Streptomyces_griseoflavus_Tu4000_",7074,121854,467200
"1104","Rhodobacteraceae_bacterium_KLH11_",4274,78930,467661
"1105","Streptococcus_gordonii_str._Challis_substr._CH1_",2051,26685,467705
"1106","Pedobacter_oryzae_DSM_19973_",3067,39524,468059
"1107","Gordonia_kroppenstedtii_DSM_45133_",3927,67464,468556
"1108","Escherichia_coli_BL21",4196,62131,469008
"1109","Thermobispora_bispora_DSM_43833_",3546,39559,469371
"1110","Cryptobacterium_curtum_DSM_15641_",1357,17869,469378
"1111","Dethiosulfovibrio_peptidovorans_DSM_11002_",2458,45666,469381
"1112","Conexibacter_woesei_DSM_14684_",5914,92361,469383
"1113","Citrobacter_sp._30_2_",4683,79588,469595
"1114","Coprobacillus_sp._29_1_",3845,167070,469596
"1115","Fusobacterium_nucleatum_subsp._vincentii_3_1_36A2_",2151,23227,469604
"1116","Fusobacterium_nucleatum_subsp._vincentii_4_1_13_",2154,28695,469606
"1117","Streptococcus_sp._2_1_36FAA_",2111,33119,469609
"1118","Burkholderiales_bacterium_1_1_47_",2377,30955,469610
"1119","Fusobacterium_gonidiaformans_ATCC_25563_",1621,25420,469615
"1120","Fusobacterium_mortiferum_ATCC_9817_",2538,37020,469616
"1121","Fusobacterium_ulcerans_ATCC_49185_",3191,47547,469617
"1122","Fusobacterium_varium_ATCC_27725_",3008,32995,469618
"1123","Bacteroides_coprocola_DSM_17136_",4291,47617,470145
"1124","Geobacillus_sp._WCH70_",3137,47629,471223
"1125","Thermomonospora_curvata_DSM_43183_",4890,53183,471852
"1126","Beutenbergia_cavernae_DSM_12333_",4197,47610,471853
"1127","Dyadobacter_fermentans_DSM_18053_",5719,90485,471854
"1128","Slackia_heliotrinireducens_DSM_20476_",2765,26851,471855
"1129","Jonesia_denitrificans_DSM_20603_",2511,33265,471856
"1130","Saccharomonospora_viridis_DSM_43017_",3828,44183,471857
"1131","Bacteroides_intestinalis_DSM_17393_",4911,73623,471870
"1132","Providencia_stuartii_ATCC_25827_",4737,55777,471874
"1133","Ruminococcus_lactaris_ATCC_29176_",2750,36504,471875
"1134","Proteus_penneri_ATCC_35198_",4909,106000,471881
"1135","Nitratireductor_basaltis_",3450,54595,472175
"1136","Nitrosococcus_halophilus_Nc_4_",3817,49863,472759
"1137","Blautia_hydrogenotrophica_DSM_10507_",3869,73903,476272
"1138","Achromobacter_arsenitoxydans_SY8_",5722,107385,477184
"1139","Pseudomonas_stutzeri_TS44_",4000,76896,477228
"1140","Modestobacter_marinus_",5446,55963,477641
"1141","Candidatus_Desulforudis_audaxviator_MP104C_",2157,30561,477974
"1142","Verrucomicrobia_bacterium_LP2A_",2234,30334,478741
"1143","Marvinbryantia_formatexigens_DSM_14469_",4896,58914,478749
"1144","Kytococcus_sedentarius_DSM_20547_",2554,27854,478801
"1145","Nakamurella_multipartita_DSM_44233_",5240,55470,479431
"1146","Streptosporangium_roseum_DSM_43021_",8975,114380,479432
"1147","Catenulispora_acidiphila_DSM_44928_",8914,110010,479433
"1148","Sphaerobacter_thermophilus_DSM_20745_",3485,41284,479434
"1149","Kribbella_flavida_DSM_17836_",6943,80714,479435
"1150","Veillonella_parvula_DSM_2008_",1844,24162,479436
"1151","Eggerthella_lenta_DSM_2243_",3070,30171,479437
"1152","Methylacidiphilum_infernorum_V4_",2472,25677,481448
"1153","Escherichia_coli_ATCC_8739_",4200,66684,481805
"1154","Streptococcus_canis_FSL_Z3-227_",2212,39609,482234
"1155","Bacteroides_finegoldii_DSM_17565_",4485,60140,483215
"1156","Bacteroides_eggerthii_DSM_20697_",3711,56815,483216
"1157","[Bacteroides]_pectinophilus_ATCC_43243_",3246,52772,483218
"1158","Myxococcus_fulvus_HW-1_",7284,102466,483219
"1159","Bacteroides_plebeius_DSM_17135_",3933,49189,484018
"1160","Thermosipho_africanus_TCF52B_",1956,31839,484019
"1161","Francisella_philomiragia_subsp._philomiragia_ATCC_25017_",1915,24248,484022
"1162","Pelosinus_sp._UFO1_",4759,73057,484770
"1163","Ktedonobacter_racemifer_DSM_44963_",11453,143577,485913
"1164","Desulfohalobium_retbaense_DSM_5692_",2526,35722,485915
"1165","Desulfotomaculum_acetoxidans_DSM_771_",4068,48317,485916
"1166","Pedobacter_heparinus_DSM_2366_",4252,60267,485917
"1167","Chitinophaga_pinensis_DSM_2588_",7192,101625,485918
"1168","Acinetobacter_soli_",3034,34670,487316
"1169","Mycobacterium_intracellulare_ATCC_13950_",5144,84006,487521
"1170","Flavobacteria_bacterium_MS024-2A_",1772,27591,487796
"1171","Candidatus_Puniceispirillum_marinum_IMCC1322_",2546,31122,488538
"1172","Neisseria_lactamica_020-06_",1972,22081,489653
"1173","Moorea_producens_3L_",7440,102090,489825
"1174","Chryseobacterium_hispalense_DSM_25574_",3936,46715,491205
"1175","Anoxybacillus_flavithermus_WK1_",2832,48740,491915
"1176","Rhizobium_etli_CIAT_652_",5319,63984,491916
"1177","Marinomonas_posidonica_IVIA-Po-181_",3491,45770,491952
"1178","Rhizobium_alamii_",6802,138138,492774
"1179","Glaciecola_arctica_BSs20135_",5333,79891,493475
"1180","Psychrobacter_sp._TB15_",2562,34959,494416
"1181","Arthrobacter_sp._TB_23_",3322,44425,494419
"1182","Mycoplasma_fermentans_PG18_",893,10022,496833
"1183","Thauera_sp._63_",4008,79566,497321
"1184","Chthoniobacter_flavus_Ellin428_",6716,103290,497964
"1185","Cyanothece_sp._PCC_7822_",5450,64931,497965
"1186","Cellvibrio_japonicus_Ueda107_",3754,56456,498211
"1187","Borrelia_spielmanii_A14S_",819,21737,498742
"1188","Heliobacterium_modesticaldum_Ice1_",3000,37981,498761
"1189","Thermus_aquaticus_Y51MC23_",2539,35567,498848
"1190","Streptomyces_avicenniae_",5842,90272,500153
"1191","Tyzzerella_nexilis_DSM_1787_",4239,66501,500632
"1192","[Clostridium]_hiranonis_DSM_13275_",2271,31494,500633
"1193","Mitsuokella_multacida_DSM_20544_",2558,41385,500635
"1194","Providencia_rustigianii_DSM_4541_",3969,67969,500637
"1195","Citrobacter_youngae_ATCC_29220_",5278,97224,500640
"1196","Citreicella_sp._SE45_",5030,99129,501479
"1197","Haliangium_ochraceum_DSM_14365_",6719,95257,502025
"1198","Escherichia_albertii_TW07627_",4386,67481,502347
"1199","Eggerthella_sp._YY7918_",2680,25745,502558
"1200","Spirosoma_linguale_DSM_74_",6534,87646,504472
"1201","Corynebacterium_urealyticum_DSM_7109_",2021,23775,504474
"1202","Jejuia_pallidilutea_",4232,69703,504487
"1203","Meiothermus_ruber_DSM_1279_",3056,40833,504728
"1204","Oligotropha_carboxidovorans_OM5_",3722,60231,504832
"1205","Rheinheimera_sp._A13L_",3942,69787,506534
"1206","Caulobacter_segnis_ATCC_21756_",4139,50146,509190
"1207","Acetivibrio_cellulolyticus_CD2_",5194,105620,509191
"1208","Pedobacter_sp._V48_",5849,79786,509635
"1209","Caldisericum_exile_AZM16c01_",1582,19470,511051
"1210","Oceanimonas_sp._GK1_",3217,52258,511062
"1211","Escherichia_coli_str._K-12_substr._MG1655_",4127,87922,511145
"1212","Lactobacillus_buchneri_NRRL_B-30929_",2360,25637,511437
"1213","Butyrivibrio_crossotus_DSM_2876_",2529,40136,511680
"1214","Candidatus_Azobacteroides_pseudotrichonymphae_genomovar._CFP2_",762,12197,511995
"1215","Mycoplasma_crocodyli_MP145_",689,10211,512564
"1216","Actinoplanes_missouriensis_431_",8125,103389,512565
"1217","Candidatus_Riesia_pediculicola_USDA_",555,8473,515618
"1218","[Eubacterium]_eligens_ATCC_27750_",2668,36865,515620
"1219","Butyrivibrio_proteoclasticus_B316_",3387,54564,515622
"1220","Dictyoglomus_turgidum_DSM_6724_",1744,23281,515635
"1221","Chlorobaculum_parvum_NCIB_8327_",2043,25796,517417
"1222","Chloroherpeton_thalassium_ATCC_35110_",2710,34415,517418
"1223","Pantoea_sp._aB_",4491,69707,517433
"1224","Citromicrobium_sp._JLT1363_",2882,44080,517722
"1225","Bifidobacterium_angulatum_DSM_20098_=_JCM_7096_",1748,19429,518635
"1226","Holdemanella_biformis_DSM_3989_",2529,57675,518637
"1227","Rhodothermus_marinus_DSM_4252_",2863,40019,518766
"1228","Streptobacillus_moniliformis_DSM_12112_",1442,19986,519441
"1229","Ectothiorhodospira_sp._PHS-1_",2791,47579,519989
"1230","Acinetobacter_sp._NIPH_973_",4051,54007,520709
"1231","Providencia_alcalifaciens_DSM_30120_",4022,49362,520999
"1232","Providencia_rettgeri_DSM_1131_",4754,73436,521000
"1233","Collinsella_intestinalis_DSM_13280_",1784,41981,521003
"1234","Borrelia_bissettii_DN127_",843,17345,521010
"1235","Kosmotoga_olearia_TBF_19.5.1_",2118,24928,521045
"1236","Atopobium_parvulum_DSM_20469_",1353,18134,521095
"1237","Tsukamurella_paurometabola_DSM_20162_",4242,46550,521096
"1238","Capnocytophaga_ochracea_DSM_7271_",2171,29412,521097
"1239","Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_DSM_446_",2980,38621,521098
"1240","Actinomyces_timonensis_DSM_23838_",2385,35323,521393
"1241","Caldicellulosiruptor_bescii_DSM_6725_",2658,36153,521460
"1242","Planctomyces_limnophilus_DSM_3776_",4258,40795,521674
"1243","Pseudomonas_caeni_DSM_24390_",2701,46324,521719
"1244","Candidatus_Accumulibacter_phosphatis_clade_IIA_str._UW-1_",4366,63473,522306
"1245","Stenotrophomonas_maltophilia_K279a_",4386,65577,522373
"1246","Denitrovibrio_acetiphilus_DSM_12809_",2964,47299,522772
"1247","Kangiella_koreensis_DSM_16069_",2632,34402,523791
"1248","Leptotrichia_buccalis_C-1013-b_",2220,24309,523794
"1249","Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774_",2356,37470,525146
"1250","Acinetobacter_sp._ATCC_27244_",3327,40930,525244
"1251","Actinomyces_coleocanis_DSM_15436_",1546,26724,525245
"1252","Actinomyces_urogenitalis_DSM_15434_",2403,34586,525246
"1253","Anaerococcus_lactolyticus_ATCC_51172_",2253,39642,525254
"1254","Anaerococcus_tetradius_ATCC_35098_",2079,33203,525255
"1255","Atopobium_vaginae_DSM_15829_",1244,23574,525256
"1256","Chryseobacterium_gleum_ATCC_35910_",5289,79759,525257
"1257","Corynebacterium_accolens_ATCC_49725_",2333,34120,525260
"1258","Corynebacterium_lipophiloflavum_DSM_44291_",2371,35025,525263
"1259","Corynebacterium_pseudogenitalium_ATCC_33035_",2493,35009,525264
"1260","Corynebacterium_striatum_ATCC_6940_",2677,27150,525268
"1261","Finegoldia_magna_ATCC_53516_",1838,30611,525282
"1262","Lactobacillus_antri_DSM_16041_",2224,35280,525309
"1263","Lactobacillus_buchneri_ATCC_11577_",3002,34761,525318
"1264","Lactobacillus_ultunensis_DSM_16047_",2210,34394,525365
"1265","Listeria_grayi_DSM_20601_",2625,45640,525367
"1266","Mycobacterium_parascrofulaceum_ATCC_BAA-614_",6456,124342,525368
"1267","Sphingobacterium_spiritivorum_ATCC_33861_",4471,73510,525373
"1268","Staphylococcus_caprae_M23864:W1_",2563,39794,525378
"1269","Streptococcus_equinus_ATCC_9812_",1793,32583,525379
"1270","Desulfomicrobium_baculatum_DSM_4028_",3436,58721,525897
"1271","Sulfurospirillum_deleyianum_DSM_6946_",2265,31577,525898
"1272","Thermanaerovibrio_acidaminovorans_DSM_6589_",1738,29404,525903
"1273","Thermobaculum_terrenum_ATCC_BAA-798_",2832,28085,525904
"1274","Acidimicrobium_ferrooxidans_DSM_10331_",1964,26032,525909
"1275","Anaerococcus_prevotii_DSM_20548_",1806,24877,525919
"1276","Sebaldella_termitidis_ATCC_33386_",4099,47947,526218
"1277","Desulfovibrio_salexigens_DSM_2638_",3807,61394,526222
"1278","Brachyspira_murdochii_DSM_12563_",2809,32329,526224
"1279","Geodermatophilus_obscurus_DSM_43160_",4811,54472,526225
"1280","Gordonia_bronchialis_DSM_43247_",4696,55978,526226
"1281","Meiothermus_silvanus_DSM_9946_",3378,35792,526227
"1282","Yersinia_aldovae_ATCC_35236_",3967,60095,527002
"1283","Proteus_mirabilis_HI4320_",3662,51210,529507
"1284","Candidatus_Rhodoluna_lacicola_",1364,17427,529884
"1285","Pirellula_staleyi_DSM_6068_",4717,63019,530564
"1286","Flavobacteriaceae_bacterium_3519-10_",2534,26263,531844
"1287","Cylindrospermopsis_raciborskii_CS-505_",3449,69564,533240
"1288","Raphidiopsis_brookii_D9_",3007,56054,533247
"1289","Acidovorax_ebreus_TPSY_",3479,50080,535289
"1290","Mesorhizobium_opportunistum_WSM2075_",6508,79353,536019
"1291","Clostridium_carboxidivorans_P7_",5460,78127,536227
"1292","Clostridium_botulinum_A2_str._Kyoto_",3878,44092,536232
"1293","Clostridium_botulinum_E1_str._'BoNT_E_Beluga'_",3684,59593,536233
"1294","Blautia_hansenii_DSM_20583_",3171,36897,537007
"1295","Prevotella_copri_DSM_18205_",3337,32264,537011
"1296","[Clostridium]_methylpentosum_DSM_5476_",3907,38823,537013
"1297","Candidatus_Liberibacter_asiaticus_str._psy62_",1109,16735,537021
"1298","Helicobacter_canadensis_MIT_98-5491_",1535,26540,537970
"1299","Helicobacter_cinaedi_CCUG_18818_",2373,24863,537971
"1300","Helicobacter_pullorum_MIT_98-5489_",2028,31576,537972
"1301","Actinoplanes_subtropicus_",10185,194816,543632
"1302","Variovorax_paradoxus_S110_",6279,99405,543728
"1303","Lactobacillus_casei_BL23_",3005,43714,543734
"1304","beta_proteobacterium_CB_",2112,26917,543913
"1305","Clostridium_arbusti_SL206_",3783,61651,545243
"1306","Thioalkalivibrio_sp._AKL11_",2833,46893,545264
"1307","Thioalkalivibrio_sp._ALJ24_",2568,47397,545276
"1308","Bacillus_megaterium_QM_B1551_",5116,68932,545693
"1309","Treponema_primitia_ZAS-2_",3522,38303,545694
"1310","Treponema_azotonutricium_ZAS-9_",3474,35583,545695
"1311","Holdemania_filiformis_DSM_12042_",4223,339407,545696
"1312","Clostridium_celatum_DSM_1785_",3453,52773,545697
"1313","Neisseria_cinerea_ATCC_14685_",2127,29150,546262
"1314","Neisseria_flavescens_NRL30031-H210_",2531,32271,546264
"1315","Neisseria_mucosa_ATCC_25996_",3148,33158,546266
"1316","Neisseria_polysaccharea_ATCC_43768_",2577,30027,546267
"1317","Neisseria_subflava_NJ9703_",2621,34668,546268
"1318","Filifactor_alocis_ATCC_35896_",1641,19065,546269
"1319","Gemella_haemolysans_ATCC_10379_",1710,28125,546270
"1320","Selenomonas_sputigena_ATCC_35185_",2255,31107,546271
"1321","Veillonella_dispar_ATCC_17748_",1954,34714,546273
"1322","Eikenella_corrodens_ATCC_23834_",2627,22646,546274
"1323","Fusobacterium_periodonticum_ATCC_33693_",2568,27928,546275
"1324","Deinococcus_deserti_VCD115_",2616,27015,546414
"1325","Bacteroides_coprophilus_DSM_18228_=_JCM_13818_",3838,44029,547042
"1326","Bifidobacterium_pseudocatenulatum_DSM_20438_=_JCM_1200_=_LMG_10505_",2151,20281,547043
"1327","Neisseria_sicca_ATCC_29256_",3660,26683,547045
"1328","Hydrogenobaculum_sp._HO_",1579,22448,547144
"1329","Mycobacterium_vulneris_",6653,152433,547163
"1330","Corynebacterium_aurimucosum_ATCC_700975_",2551,28214,548476
"1331","Corynebacterium_glucuronolyticum_ATCC_51867_",2645,38557,548477
"1332","Mobiluncus_curtisii_ATCC_43063_",1909,24850,548479
"1333","Ferrimonas_balearica_DSM_9799_",3782,61939,550540
"1334","'Nostoc_azollae'_0708_",3600,36726,551115
"1335","Hirschia_maritima_DSM_19733_",3071,49522,551275
"1336","Ponticaulis_koreensis_DSM_19734_",3228,48419,551789
