"","input.Species","input.Proteins","interactions","input.ID"
"126","Sulfitobacter_sp._EE-36_",2973,51126,52598
"127","Pectobacterium_betavasculorum_",4016,70774,55207
"128","Vibrio_anguillarum_",3726,64393,55601
"129","Streptomyces_toyocaensis_",6315,108052,55952
"130","Cylindrospermum_stagnale_PCC_7417_",5927,64273,56107
"131","Oscillatoria_acuminata_PCC_6304_",5755,65558,56110
"132","Syntrophus_aciditrophicus_SB_",3168,36191,56780
"133","Spirillospora_albida_",5477,105064,58123
"134","Streptomyces_celluloflavus_",7124,130922,58344
"135","Rickettsiella_grylli_",1410,20573,59196
"136","Fibrobacter_succinogenes_subsp._succinogenes_S85_",3085,33167,59374
"137","Candidatus_Phytoplasma_australiense_",684,11505,59748
"138","Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986_",1948,22233,59919
"139","Prochlorococcus_marinus_str._MIT_9107_",1963,26299,59921
"140","Prochlorococcus_marinus_str._GP2_",1863,26470,59925
"141","Prochlorococcus_marinus_str._SB_",1911,27613,59926
"142","Synechococcus_sp._WH_7805_",2882,39197,59931
"143","Lactobacillus_paraplantarum_",2708,25337,60520
"144","Pluralibacter_gergoviae_",4692,75964,61647
"145","Azoarcus_sp._BH72_",3989,59102,62928
"146","Acinetobacter_sp._ADP1_",3277,61320,62977
"147","Nostoc_punctiforme_PCC_73102_",6134,81472,63737
"148","Synechococcus_sp._CC9311_",2892,29568,64471
"149","Halothece_sp._PCC_7418_",3708,54178,65093
"150","Cyanothece_sp._PCC_7424_",5463,59812,65393
"151","Actinoalloteichus_cyanogriseus_",4831,71161,65497
"152","Pantoea_stewartii_",4307,59366,66269
"153","Streptomyces_niger_",7311,139239,66373
"154","Streptomyces_violens_",6841,128246,66377
"155","Streptomyces_roseoverticillatus_",6067,102679,66429
"156","Bacillus_clausii_KSM-K16_",4087,50731,66692
"157","Streptomyces_atroolivaceus_",7079,119524,66869
"158","Streptomyces_bicolor_",8388,154842,66874
"159","Streptomyces_catenulae_",5932,96294,66875
"160","Streptomyces_griseorubens_",6603,108940,66897
"161","Streptomyces_albus_subsp._albus_",6329,91882,67257
"162","Streptomyces_alboflavus_",8121,96090,67267
"163","Streptomyces_aureocirculatus_",7950,127429,67275
"164","Streptomyces_californicus_",6649,118058,67281
"165","Streptomyces_lavenduligriseus_",7702,148813,67315
"166","Streptomyces_mutabilis_",6346,111596,67332
"167","Streptomyces_purpeofuscus_",7831,118184,67352
"168","Streptomyces_resistomycificus_",9296,198332,67356
"169","Streptomyces_varsoviensis_",7091,116376,67373
"170","Lechevalieria_aerocolonigenes_",11511,203757,68170
"171","Streptomyces_durhamensis_",8352,166948,68194
"172","Streptomyces_flavochromogenes_",7861,117839,68199
