,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29
Bdellovibrio_bacteriovorus_W_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,37.63756739,3187.914109,2537.542414,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,184.5493959,2062.377781,2.22E-16,2.22E-16,2.22E-16,138.9349948,2.22E-16
Bdellovibrio_exovorus_JSS_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,24.03714663,2.22E-16,2.22E-16,2.22E-16,2.22E-16,48.38088396,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,94.28720309,5457.277994,2.22E-16,2.22E-16,228.1743156,1.795377014,2.22E-16
Beggiatoa_alba_B18LD_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,36.13761427,54.23515368,2.22E-16,102.6956526,2.22E-16,2.22E-16,1133.636984,2452.939324,2.22E-16,2.22E-16,2.22E-16,557.2869538,2.22E-16,10832.4274,2.22E-16,2.22E-16,323.5732436,2.22E-16
Beijerinckia_indica_subsp_indica_ATCC_9039_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,89.51444948,9.761675014,2.22E-16,42.5809818,107.4712134,2.22E-16,3194.029117,3713.404303,2.22E-16,2.22E-16,2.22E-16,329.910317,2.22E-16,572.1137918,2.22E-16,2.22E-16,211.1466525,2.22E-16
Belliella_baltica_DSM_15883_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,12.39816771,2.22E-16,2.22E-16,9.754012085,2.22E-16,2.22E-16,24.59620487,5033.84506,2.22E-16,2.22E-16,2.22E-16,142.3603847,2.22E-16,8.230758317,2.22E-16,2.22E-16,8.368599116,2.22E-16
Bergeyella_zoohelcum_ATCC_43767_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3089.575168,37.9894523,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,59.1149056,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
beta_proteobacterium_CB_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1369.967096,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2938.867012,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,321.584895,2.22E-16,2.22E-16,2.22E-16,2.22E-16,309.9656395,2.22E-16
beta_proteobacterium_KB13_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,5905.975294,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1679.618463,2.22E-16,538.5416274,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1380.215256,2.22E-16
Betaproteobacteria_bacterium_MOLA814_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,745.6279882,2.22E-16,840.3694232,2.22E-16,20904.27796,2118.146751,149.3753781,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2718.502358,2.22E-16,75.19169004,6385.822444,2.22E-16,2.22E-16,3478.816619,899.4017451,2.22E-16
Beutenbergia_cavernae_DSM_12333_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3930.141073,2.22E-16,8.768679683,2.581646536,7.662354116,66.28890914,2.22E-16,691.4649665,2.22E-16,2.22E-16,6.000113416,17.99737863,2.22E-16,2.22E-16,2.22E-16,51.25282107,2.22E-16,6.997260469,2.22E-16,2.22E-16,14.12089188,2.22E-16
