Species,Proteins,ID
Candidatus_Sodalis_pierantonius_str._SOPE_,2309,2342
Fervidobacterium_islandicum_,1961,2423
Synergistes_jonesii_,2501,2754
Dactylococcopsis_salina_PCC_8305_,3337,13035
Sphingomonas_paucimobilis_,4705,13689
Sphingobium_yanoikuyae_,5330,13690
Saccharopolyspora_rectivirgula_,3222,28042
Nostoc_sp._PCC_7524_,5365,28072
Porphyromonas_macacae_,1778,28115
Yersinia_kristensenii_,3918,28152
Candidatus_Photodesmus_katoptron_,866,28176
Colwellia_psychrerythraea_,4376,28229
Cobetia_marina_,2726,28258
Herbidospora_cretacea_,7328,28444
Streptomyces_griseoluteus_,7366,29306
Yersinia_ruckeri_,3325,29486
Vibrio_navarrensis_,3750,29495
Janthinobacterium_lividum_,5431,29581
Bifidobacterium_pseudolongum_subsp._pseudolongum_,1495,31954
Clavibacter_michiganensis_subsp._sepedonicus_,3056,31964
Campylobacter_sputorum_biovar_sputorum_,1919,32024
Pseudomonas_stutzeri_ATCC_14405_=_CCUG_16156_,4126,32042
Synechococcus_sp._PCC_7002_,2862,32049
Synechococcus_sp._WH_7803_,2533,32051
Calothrix_sp._PCC_7103_,10163,32057
Blautia_producta_,5212,33035
Catenuloplanes_japonicus_,9539,33876
Streptomyces_galbus_,8622,33898
Bifidobacterium_thermophilum_,1700,33905
Paracoccus_versutus_,4839,34007
Citrobacter_amalonaticus_,4851,35703
Dactylosporangium_aurantiacum_,10074,35754
Bifidobacterium_choerinum_,1672,35760
Bacillus_thermoamylovorans_,3441,35841
Mycobacterium_abscessus_,4942,36809
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis_,611,36870
Porphyromonas_cangingivalis_,1708,36874
Porphyromonas_canoris_,1708,36875
Clostridium_algidicarnis_,2820,37659
Candidatus_Phytoplasma_mali_,482,37692
Rhodococcus_opacus_,7199,37919
Streptococcus_equi_subsp._zooepidemicus_,1869,40041
Acinetobacter_junii_,3465,40215
Acinetobacter_sp._CIP-A165_,3355,40373
Lentzea_albidocapillata_,8082,40571
Cyanothece_sp._PCC_8801_,4304,41431
Rubrobacter_radiotolerans_,3161,42256
Halomonas_salina_,2897,42565
Prauserella_rugosa_,4810,43354
Streptomyces_wedmorensis_,8186,43759
Cyanothece_sp._ATCC_51142_,5221,43989
Streptomyces_megasporus_,5279,44060
Paenibacillus_durus_,4683,44251
Mycobacterium_avium_subsp._avium_,4438,44454
Mycoplasma_conjunctivae_,696,45361
Anabaena_sp._90_,4354,46234
Weissella_hellenica_,1879,46256
Sphingobium_chlorophenolicum_,4481,46429
Streptomyces_olivaceus_,7354,47716
Streptomyces_lydicus_,7153,47763
Mycobacterium_triplex_,5890,47839
Helicobacter_trogontum_,2229,50960
Sulfitobacter_sp._EE-36_,2973,52598
Pectobacterium_betavasculorum_,4016,55207
Vibrio_anguillarum_,3726,55601
Streptomyces_toyocaensis_,6315,55952
Cylindrospermum_stagnale_PCC_7417_,5927,56107
Oscillatoria_acuminata_PCC_6304_,5755,56110
Syntrophus_aciditrophicus_SB_,3168,56780
Spirillospora_albida_,5477,58123
Streptomyces_celluloflavus_,7124,58344
Rickettsiella_grylli_,1410,59196
Fibrobacter_succinogenes_subsp._succinogenes_S85_,3085,59374
Candidatus_Phytoplasma_australiense_,684,59748
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986_,1948,59919
Prochlorococcus_marinus_str._MIT_9107_,1963,59921
Prochlorococcus_marinus_str._GP2_,1863,59925
Prochlorococcus_marinus_str._SB_,1911,59926
Synechococcus_sp._WH_7805_,2882,59931
Lactobacillus_paraplantarum_,2708,60520
Pluralibacter_gergoviae_,4692,61647
Azoarcus_sp._BH72_,3989,62928
Acinetobacter_sp._ADP1_,3277,62977
Nostoc_punctiforme_PCC_73102_,6134,63737
Synechococcus_sp._CC9311_,2892,64471
Halothece_sp._PCC_7418_,3708,65093
Cyanothece_sp._PCC_7424_,5463,65393
Actinoalloteichus_cyanogriseus_,4831,65497
Pantoea_stewartii_,4307,66269
